Region,Location,Sublocation,Trap Component,Suggestion,LLL name
Gnawnia,Meadow,*,Bait,Brie,brie_cheese
Gnawnia,Meadow,*,Bait,Gouda,gouda_cheese
Gnawnia,Meadow,*,Bait,Swiss,swiss_cheese
Gnawnia,Town of Gnawnia,*,Bait,Brie,brie_cheese
Gnawnia,Town of Gnawnia,*,Bait,Gouda,gouda_cheese
Gnawnia,Town of Gnawnia,*,Bait,Gilded,gilded_cheese
Gnawnia,Haunted Terrortories,*,Weapon,Grand Arcanum Trap,grand_arcanum_weapon
Gnawnia,Haunted Terrortories,*,Weapon,Clockwork Portal Trap,clockwork_portal_weapon
Gnawnia,Haunted Terrortories,*,Weapon,ACRONYM,acronym_weapon
Gnawnia,Haunted Terrortories,*,Weapon,Maniacal Brain Extractor,brain_extractor_upgrade_weapon
Gnawnia,Haunted Terrortories,*,Weapon,Terrifying Spider Trap,terrifying_spider_weapon
Gnawnia,Haunted Terrortories,*,Base,Rift,rift_base
Gnawnia,Haunted Terrortories,*,Base,Snake Jade,snake_jade_base
Gnawnia,Haunted Terrortories,*,Base,Golden Tournament,champions_gold_base
Gnawnia,Haunted Terrortories,*,Charm,Spooky,spooky_trinket
Gnawnia,Haunted Terrortories,*,Charm,Brain,brain_trinket
Gnawnia,Haunted Terrortories,*,Bait,Candy Corn,treat_cheese
Gnawnia,Haunted Terrortories,*,Bait,Ghoulgonzola,trick_cheese
Gnawnia,Haunted Terrortories,*,Bait,Brie,brie_cheese
Gnawnia,Windmill,*,Bait,Brie,brie_cheese
Gnawnia,Windmill,*,Bait,Swiss,swiss_cheese
Gnawnia,Windmill,*,Bait,Gouda,gouda_cheese
Gnawnia,Harbour,*,Bait,Brie,brie_cheese
Gnawnia,Harbour,*,Bait,Swiss,swiss_cheese
Gnawnia,Harbour,*,Bait,Gouda,gouda_cheese
Gnawnia,Mountain,*,Charm,Prospector's,mining_trinket
Gnawnia,Mountain,*,Bait,Brie,brie_cheese
Gnawnia,Mountain,*,Bait,Swiss,swiss_cheese
Gnawnia,Mountain,*,Bait,Gouda,gouda_cheese
Gnawnia,Slushy Shoreline,*,Bait,Gouda,gouda_cheese
Gnawnia,Slushy Shoreline,*,Charm,Softserve,softserve_trinket
Valour,King's Arms,*,Bait,Gilded,gilded_cheese
Valour,Tournament Hall,*,Bait,Brie Cheese,brie_cheese
Valour,King's Gauntlet,*,Weapon,Ancient Gauntlet,ancient_gauntlet_weapon
Valour,King's Gauntlet,*,Bait,Gauntlet Cheese Tier 8,gauntlet_cheese_8
Valour,King's Gauntlet,*,Bait,Gauntlet Cheese Tier 7,gauntlet_cheese_7
Valour,King's Gauntlet,*,Bait,Gauntlet Cheese Tier 6,gauntlet_cheese_6
Valour,King's Gauntlet,*,Bait,Gauntlet Cheese Tier 5,gauntlet_cheese_5
Valour,King's Gauntlet,*,Bait,Gauntlet Cheese Tier 4,gauntlet_cheese_4
Valour,King's Gauntlet,*,Bait,Gauntlet Cheese Tier 3,gauntlet_cheese_3
Valour,King's Gauntlet,*,Bait,Gauntlet Cheese Tier 2,gauntlet_cheese_2
Valour,King's Gauntlet,*,Bait,Brie,brie_cheese
Whisker Woods,Calm Clearing,*,Bait,Brie,brie_cheese
Whisker Woods,Calm Clearing,*,Bait,Gouda,gouda_cheese
Whisker Woods,Calm Clearing,*,Bait,Cherry,cherry_cheese
Whisker Woods,Great Gnarled Tree,*,Bait,Gnarled,gnarled_cheese
Whisker Woods,Great Gnarled Tree,*,Bait,Brie,brie_cheese
Whisker Woods,Great Gnarled Tree,*,Bait,Gouda,gouda_cheese
Whisker Woods,Lagoon,*,Bait,Wicked Gnarly,wicked_gnarly_cheese
Whisker Woods,Lagoon,*,Bait,Gnarled,gnarled_cheese
Varmint Valley,Claw Shot City,*,Weapon,S.L.A.C. II,slac_ii_sling_weapon
Varmint Valley,Claw Shot City,*,Weapon,S.L.A.C.,slac_spring_weapon
Varmint Valley,Claw Shot City,*,Base,Claw Shot Base,claw_shot_base
Varmint Valley,Claw Shot City,*,Charm,Prospector's,mining_trinket
Varmint Valley,Claw Shot City,*,Charm,Cactus,cactus_trinket
Varmint Valley,Claw Shot City,*,Charm,Sheriff's Badge Charm,sheriff_badge_trinket
Varmint Valley,Claw Shot City,*,Bait,Gouda,gouda_cheese
Varmint Valley,Gnawnian Express Station,*,Bait,Gouda,gouda_cheese
Varmint Valley,Gnawnian Express Station,*,Base,Rift,rift_base
Varmint Valley,Gnawnian Express Station,*,Weapon,S.L.A.C. II,slac_ii_sling_weapon
Varmint Valley,Gnawnian Express Station,Supply Depot,Weapon,Supply Grabber,supply_grabber_weapon
Varmint Valley,Gnawnian Express Station,Supply Depot,Charm,Supply Schedule,book_warmer_trinket
Varmint Valley,Gnawnian Express Station,Raider River,Weapon,Bandit Deflector,bandit_deflector_weapon
Varmint Valley,Gnawnian Express Station,Raider River,Charm,Roof Rack,trouble_area_roof_trinket
Varmint Valley,Gnawnian Express Station,Raider River,Charm,Door Guard,trouble_area_door_trinket
Varmint Valley,Gnawnian Express Station,Raider River,Charm,Greasy Glob,trouble_area_rails_trinket
Varmint Valley,Gnawnian Express Station,Daredevil Canyon,Weapon,Engine Doubler,engine_doubler_weapon
Varmint Valley,Gnawnian Express Station,Daredevil Canyon,Charm,Magmatic Crystal,train_magmatic_crystal_trinket
Varmint Valley,Gnawnian Express Station,Daredevil Canyon,Charm,Black Powder,train_black_powder_trinket
Varmint Valley,Gnawnian Express Station,Daredevil Canyon,Charm,Dusty Coal,train_coal_trinket
Burroughs,Laboratory,*,Charm,Scientist's Charm,lab_trinket
Burroughs,Laboratory,*,Bait,Radioactive Blue,radioactive_blue_cheese
Burroughs,Laboratory,*,Bait,Brie Cheese,brie_cheese
Burroughs,Mousoleum,*,Base,Golden Tournament,champions_gold_base
Burroughs,Mousoleum,*,Weapon,Clockwork Portal Trap,clockwork_portal_weapon
Burroughs,Mousoleum,*,Bait,Radioactive Blue,radioactive_blue_cheese
Burroughs,Mousoleum,*,Bait,Moon,moon_cheese
Burroughs,Mousoleum,*,Bait,Undead Emmental,undead_emmental_cheese
Burroughs,Town of Digby,*,Weapon,Chrome Monstrobot,chrome_monstrobot_weapon
Burroughs,Town of Digby,*,Base,Rift,rift_base
Burroughs,Town of Digby,*,Charm,Mining Charm,drilling_trinket
Burroughs,Town of Digby,*,Bait,Limelight,limelight_cheese
Burroughs,Town of Digby,*,Bait,Brie Cheese,brie_cheese
Burroughs,Bazaar,*,Bait,Gilded Cheese,gilded_cheese
Burroughs,Bazaar,*,Bait,Brie Cheese,brie_cheese
Furoma,Training Grounds,*,Bait,Brie Cheese,brie_cheese
Furoma,Dojo,*,Bait,Maki,maki_cheese
Furoma,Dojo,*,Bait,Brie Cheese,brie_cheese
Furoma,Meditation Room,*,Bait,Combat,combat_cheese
Furoma,Meditation Room,*,Bait,Glutter,glutter_cheese
Furoma,Meditation Room,*,Bait,Susheese,susheese_cheese
Furoma,Pinnacle Chamber,*,Charm,Wealth Charm,gold_bonus_trinket
Furoma,Pinnacle Chamber,*,Bait,Rumble,rumble_cheese
Furoma,Pinnacle Chamber,*,Bait,Onyx Gorgonzola,onyx_gorgonzola_cheese
Bristle Woods,Catacombs,*,Weapon,Grand Arcanum Trap,grand_arcanum_weapon
Bristle Woods,Catacombs,*,Weapon,Clockwork Portal Trap,clockwork_portal_weapon
Bristle Woods,Catacombs,*,Base,Snake Jade Base,snake_jade_base
Bristle Woods,Catacombs,*,Charm,Antiskele Charm,anti_skele_trinket
Bristle Woods,Catacombs,*,Bait,Radioactive Blue,radioactive_blue_cheese
Bristle Woods,Catacombs,*,Bait,Ancient,ancient_cheese
Bristle Woods,Catacombs,*,Bait,Moon,moon_cheese
Bristle Woods,Catacombs,*,Bait,Undead Emmental,undead_emmental_cheese
